completion	workerid	condition	item	sentence1	slide_number	verbs	whichVerb
428	nunca cumple sus promesas va a cambiar, normalmente es falso.	62	SC_RC	MEDIUM_11	El convencimiento de que el político que 	11	3	NA
429	nunca falta es un ejemplo a seguir, no resulta inspirador.	49	SC_RC	MEDIUM_4	El reconocimiento de que el empleado que 	42	3	NA
430	nunca lucró con sus obras, fue muy interesante.	49	SC_RC	MEDIUM_5	La historia de que el escultor que 	9	2	NA
431	nunca paga la comunidad es el que más se queja es totalmente cierta y coherente.	27	SC_RC	MEDIUM_11	La conclusión de que el vecino que 	22	3	NA
432	obtuvo el mayor número de ventas merece un ascenso parece ser acertada.	36	SC_RC	MEDIUM_11	La conclusión de que el empleado que 	32	3	NA
433	obtuvo la matrícula de honor era un inmigrante.	63	SC_RC	MEDIUM_8	El rumor de que el estudiante que 	31	2	NA
434	odia las ciencias es tonto es una estupidez.	27	SC_RC	MEDIUM_6	La creencia de que el niño que 	26	3	NA
435	Operó a mi abuelo es un psicopático es falsa. 	22	SC_RC	MEDIUM_0	La ficción de que el cirujano que 	17	3	NA
436	operó a mi papá, cumple con todas las cualidades de un buen especialista.	64	SC_RC	MEDIUM_6	El convencimiento de que el cirujano que 	35	2	NA
437	operó la mandíbula y no hizo buen trabajo, se vio claramente días después cuando el paciente empezó a sufrir grandes dolores.	67	SC_RC	MEDIUM_8	La sospecha de que el cirujano que 	34	2	NA
438	organizaba las juntas estaba enfermo, por lo que la junta de vecinos seria postergada por dos semanas.	37	SC_RC	MEDIUM_4	La información de que el vecino que 	19	2	NA
439	participó en aquel debate, nunca escucha opiniones contrarias, no era del todo cierta.	49	SC_RC	MEDIUM_3	La realidad de que el extremista que 	12	3	NA
440	participó en la contienda electoral, está involucrado en escándalos de corrupción.	64	SC_RC	MEDIUM_4	La prueba de que el político que 	11	2	NA
441	pasa por las noches y viola muchachas, está muy extendida. 	73	SC_RC	MEDIUM_3	La ficción de que el taxista que 	21	2	NA
442	pasa todos los días por mi trabajo a la misma hora	9	SC_RC	MEDIUM_5	La prueba de que el vendedor que 	21	1	NA
443	paso en la television es correcto.	15	SC_RC	MEDIUM_6	El rumor de que el extremista que 	25	2	NA
444	paso por nuestra casa es alarmante.	15	SC_RC	MEDIUM_1	La realidad de que el vendedor que 	23	2	NA
445	paso por nuestra casa nos dio estaba incorrecta.	15	SC_RC	MEDIUM_3	La información de que el corredor que 	15	3	NA
446	pasó todas las pruebas de matemáticas haya copiado en un examen es increíble 	24	SC_RC	MEDIUM_8	El hecho de que el estudiante que 	12	3	NA
447	patrocinaba el equipo de fútbol regional lo hacía por apoyo a la comunidad sí era legítimo.	48	SC_RC	MEDIUM_5	El reconocimiento de que el empresario que 	36	3	NA
448	Perdió en los Oscar salió llorando de la ceremonia es verdad 	19	SC_RC	MEDIUM_6	La impresión de que el actor que 	28	3	NA
449	perdio la eleccion.	10	SC_RC	MEDIUM_5	La señal de que el senador que 	12	1	NA
450	perdió las elecciones fue por culpa de su vida privada extravagante está bastante extendida.	51	SC_RC	MEDIUM_11	La conclusión de que el político que 	30	3	NA
451	personifica a Brad Pitt se droga llego a los medios. 	39	SC_RC	MEDIUM_7	El rumor de que el actor que 	28	NA	NA
452	pertenece a la oposición, cometió fraude, se pudo comprobar fácilmente.	49	SC_RC	MEDIUM_10	La sospecha de que el político que 	27	3	NA
453	pidió dinero a familias pobres porque Dios se lo iba a devolver, es un estafador.	51	SC_RC	MEDIUM_3	El reporte de que el predicador que 	13	2	NA
454	planea todos los detalles siempre se sale con la suya es falsa	31	SC_RC	MEDIUM_6	La impresión de que el criminal que 	41	3	NA
455	por fin, había terminado su obra, no iría a ver la exposición, entristeció a todos en la sala.	6	SC_RC	MEDIUM_2	La realidad de que el escultor que 	35	3	NA
456	practica día y noche, siendo perseverante y constante en sus acciones, no se deja escapar por sus vecinos.	67	SC_RC	MEDIUM_6	El hecho de que el violinista que 	32	3	NA
457	presenció el accidente estaba bajo los efectos del alcohol podria imposibilitar su actuación como testigo.	53	SC_RC	MEDIUM_1	La realidad de que el taxista que 	30	3	NA
458	presentaría la prueba, la pasaría sin mayor problema.	49	SC_RC	MEDIUM_8	La convicción de que el niño que 	36	2	NA
459	presumía de haber desarrollado una nueva técnica no confiaba mucho en ella fue el hecho de que nunca la había utilizado.	1	SC_RC	MEDIUM_8	La hipótesis de que el cirujano que 	18	3	NA
460	pretendía ser un enviado divino resultase ser un vulgar fugitivo no sorprendió a nadie.	1	SC_RC	MEDIUM_10	El hecho de que el predicador que 	16	3	NA
461	promete muchas cosas es más sincero que el que promete pocas es also que vemos todos los años.	31	SC_RC	MEDIUM_2	La ficción de que el político que 	8	NA	NA
462	prometía volver su empresa más consiente del medio ambiente realmente estaba mintiendo cada vez era más grande.	26	SC_RC	MEDIUM_9	La certeza de que el CEO que 	28	3	NA
463	protagoniza Ironman es Robert Downey jr. es bastante alta.	51	SC_RC	MEDIUM_10	La certeza de que el actor que 	7	3	NA
464	protagoniza la película es: un traje negro con corbata azul.	67	SC_RC	MEDIUM_4	La señal de que el actor que 	7	2	NA
465	protagonizó la película fue arrestado se basó en un comentario de redes sociales.	29	SC_RC	MEDIUM_1	El reporte de que el actor que 	28	3	NA
466	proviene de Durango haya participado en actos ilícitos es sorprendente 	24	SC_RC	MEDIUM_5	La realidad de que el senador que 	10	3	NA
467	provocó aquel ataque disfruta, no debería permitirse.	4	SC_RC	MEDIUM_3	El reconocimiento de que el extremista que 	23	3	NA
468	pudo extirpar cientos de tumores cerebrales sin una sola muerte, fue otorgado el pasado jueves durante un evento organizado por el consejo mundial de cirujanos.	74	SC_RC	MEDIUM_0	El reconocimiento de que el cirujano que 	41	2	NA
469	que estaba en la escena del crimen era real	55	SC_RC	MEDIUM_7	La creencia de que el criminal que 	19	2	NA
470	que hizo la escultura tiene los esbozos originales es real.	22	SC_RC	MEDIUM_1	La prueba de que el escultor que 	26	3	NA
471	Que mato a mil soldados, se hizo realidad.	28	SC_RC	MEDIUM_0	El sueño de que el comandante que 	31	2	NA
472	que tocaba tu piano lo hacía mejor que tu, es el hecho de que nunca había sonado tan impresionante.	1	SC_RC	MEDIUM_6	El convencimiento de que el niño que 	29	3	NA
473	quemó su oficina ahora puede ser maestro de una escuela, es falsa.	23	SC_RC	MEDIUM_6	La hipótesis de que el extremista que 	41	3	NA
474	Queria llevarse dinero del banco lo consiguió es mentira 	19	SC_RC	MEDIUM_9	La hipótesis de que el embaucador que 	23	3	NA
475	Quería ser un gran empresario	60	SC_RC	MEDIUM_0	La historia de que el estudiante que 	37	1	NA
476	realizaba la conferencia era un charlatán, fue que sus resultados estaban claramente alterados.	36	SC_RC	MEDIUM_4	La señal de que el científico que 	15	3	NA
477	realizó el David, Miguel Ángel Buonarroti, fue uno de los mejores escultores romanos de su época nadie la puede negar.	72	SC_RC	MEDIUM_6	La conclusión de que el escultor que 	17	3	NA
478	realizó el estudio falsificó los resultados terminó siendo cierta.	4	SC_RC	MEDIUM_7	La hipótesis de que el científico que 	33	3	NA
479	realizó estos acontecimientos, no eran reales.	38	SC_RC	MEDIUM_7	La sospecha de que el embaucador que 	11	2	NA
480	realizó tantas obras famosas, estaba deprimido, es una representación del mundo actual, donde la gran mayoría de personas sufren ansiedad o depresión.	74	SC_RC	MEDIUM_4	La realidad de que el escultor que 	39	3	NA
481	rechace un papel que no cumple con sus propias expectativas	35	SC_RC	MEDIUM_5	El señal de que el actor que 	42	1	NA
482	rechazó el papel no tenía las cualidades fue constatar que había intentado modificar las partes más comprometidas sin conseguirlo.	1	SC_RC	MEDIUM_3	La señal de que el actor que 	39	NA	NA
483	recita una filosofía engranada en el odio debe ser escuchado es totalmente incorrecta.	16	SC_RC	MEDIUM_10	La convicción de que el extremista que 	8	3	NA
484	recorría la costa para salvar tortugas, era muy conmovedora	43	SC_RC	MEDIUM_1	La historia de que el salvavidas que 	23	2	NA
485	regaba las plantas habia hecho al bloque lucir mas hermoso	2	SC_RC	MEDIUM_5	El reconocimiento de que el vecino que 	11	2	NA
486	regalaba helados era demasiado bonito para ser cierto.	57	SC_RC	MEDIUM_4	El sueño de que el vendedor que 	12	2	NA
487	reincide no tiene remedio es infundada.	50	SC_RC	MEDIUM_9	La creencia de que el criminal que 	27	3	NA
488	reporta el abuso es culpable es ridícula. 	20	SC_RC	MEDIUM_11	La creencia de que la víctima que 	16	3	NA
489	reprobó la materia, haya dañado el carro de la maestra parece ser falsa.	54	SC_RC	MEDIUM_2	La historia de que el estudiante que 	34	3	NA
490	reprobó todos los exámenes haya acabado la universidad es increíble 	24	SC_RC	MEDIUM_1	El reconocimiento de que el niño que 	25	3	NA
491	rescató a una niña de 3 años acaba de recibir un ascenso 	24	SC_RC	MEDIUM_9	El rumor de que el salvavidas que 	8	2	NA
492	rescato al Niño de ahogarse fue grave. 	25	SC_RC	MEDIUM_11	La convicción de que el salvavidas que 	41	2	NA
493	ría hacer una estatua de David dos veces mas grande que la orinal, queda confirmado tras descubrir su diario 	16	SC_RC	MEDIUM_7	La sospecha de que el escultor que 	29	2	NA
494	ria seguir peleando es propaganda del gobierno	16	SC_RC	MEDIUM_1	La historia de que el niño que 	31	2	NA
495	roba niños en la noche no deja dormir a Luis.	26	SC_RC	MEDIUM_1	El sueño de que el criminal que 	20	2	NA
496	robaba al final se confirmó	55	SC_RC	MEDIUM_6	La sospecha de que el senador que 	15	2	NA
497	robaba de la caja registradora eran ciertos.	5	SC_RC	MEDIUM_10	El rumor de que el empleado que 	29	2	NA
498	robaba utensilios de oficina era cleptómano, era incorrecta	46	SC_RC	MEDIUM_11	La conclusión de que el empleado que 	18	3	NA
499	robó 10 millones de euros se encuentra en la ciudad es que ha usado su tarjeta de crédito. 	11	SC_RC	MEDIUM_1	La señal de que el CEO que 	32	3	NA
500	robo a tantas personas no era de fiar, era que siempre pedia dinero y nunca daba nada	2	SC_RC	MEDIUM_0	La señal de que el embaucador que 	37	3	NA
501	robo cuatro millones estaba de nuevo en el país hizo un alboroto en la comisaria.	6	SC_RC	MEDIUM_4	La información de que el embaucador que 	22	3	NA
502	robo dinero de la compañía, ya no esta en mi escritorio.	23	SC_RC	MEDIUM_1	El reporte de que el CEO que 	9	2	NA
503	robo el banco era tambien un menor de edad, demuestra que hubo una influencia de un criminal mas experimentado.	40	SC_RC	MEDIUM_2	La prueba de que el criminal que 	35	3	NA
504	robó el celular, lo hizo por necesidad económica.	64	SC_RC	MEDIUM_8	La creencia de que el taxista que 	38	2	NA
505	robó el pan fue que era inocente.	57	SC_RC	MEDIUM_7	La conclusión de que el criminal que 	21	2	NA
506	robó en su anterior empresa, indica que puede volver a hacerlo.	38	SC_RC	MEDIUM_10	El hecho de que el empleado que 	19	2	NA
507	robó la famosa estatua ha desaparecido es cierta.	31	SC_RC	MEDIUM_1	La historia de que el escultor que 	13	3	NA
508	robó millones y escapó era falsa	12	SC_RC	MEDIUM_1	La historia de que el empresario que 	35	2	NA
509	robó todo el año pasado, es cierto, ya que robó aun mas este año.	38	SC_RC	MEDIUM_6	El rumor de que el político que 	39	2	NA
510	robó un banco haya donado un millón de pesos a una ONG es irreal	24	SC_RC	MEDIUM_11	La conclusión de que el mafioso que 	30	3	NA
511	robó una joyería, en realidad robó tres. 	3	SC_RC	MEDIUM_5	El reconocimiento de que el criminal que 	29	2	NA
512	Saca diez es mas inteligente, no siempre es verdad.	28	SC_RC	MEDIUM_9	La creencia de que el estudiante que 	7	3	NA
513	sacó 100 en matématicas hizo trampa lo ha hecho sentir muy mal	11	SC_RC	MEDIUM_9	El convencimiento de que el estudiante que 	30	3	NA
514	saco mejores calificaciónes sera entregado el día de hoy.	7	SC_RC	MEDIUM_4	El reconocimiento de que el estudiante que 	7	2	NA
515	sacó un diez en el examen se había copiado de su compañero fue solo porque no suele sacar buenas notas.	51	SC_RC	MEDIUM_8	La impresión de que el niño que 	24	3	NA
516	sacudio la comida no lo hizo bien sigue circulando. 	39	SC_RC	MEDIUM_4	La historia de que el empleado que 	16	3	NA
517	sale en la película es cocinero es cierta.	22	SC_RC	MEDIUM_3	La realidad de que el actor que 	23	3	NA
518	salga de la prision ha cambiado es falsa. 	21	SC_RC	MEDIUM_8	La creencia de que el criminal que 	12	3	NA
519	salía de su casa era el famoso Rudy Stroll era falsa.	14	SC_RC	MEDIUM_9	La conclusión de que el violinista que 	25	3	NA
520	salió en la tele sufrió un accidente se llama Dr. Strange es increíble.	33	SC_RC	MEDIUM_6	La certeza de que el cirujano que 	29	4	NA
521	salió en la tele tenía más de una mujer.	18	SC_RC	MEDIUM_7	El rumor de que el mafioso que 	13	2	NA
522	salió en la televisión es un extraterrestre no está fundamentada con evidencia.	29	SC_RC	MEDIUM_8	La hipótesis de que el político que 	22	3	NA
523	salió en las noticias se ha escapada es bastante seguro.	22	SC_RC	MEDIUM_6	La certeza de que el extremista que 	29	3	NA
524	salio en TV es un criminal nos sorprendio. 	21	SC_RC	MEDIUM_3	El reporte de que el predicador que 	36	3	NA
525	salió por la tele se fue a las Maldivas con su amante es inefable.	33	SC_RC	MEDIUM_3	La realidad de que el senador que 	20	3	NA
526	salvo a la mujer de ahogarse es un heroe, no toma en consideracion los turistas que lo alertaron al principio.	40	SC_RC	MEDIUM_10	La conclusión de que el salvavidas que 	29	3	NA
527	salvó a la señora de ahogarse.	30	SC_RC	MEDIUM_4	El reconocimiento de que el salvavidas que 	19	1	NA
528	salvó al niño era cojo, no lo detuvo.	29	SC_RC	MEDIUM_6	El hecho de que el salvavidas que 	18	3	NA
529	salvo al perro de ser atropellado es muy honorable.	25	SC_RC	MEDIUM_0	El reconocimiento de que el vendedor que 	17	2	NA
530	Salvo la vida de 3 personas, es bien merecido.	28	SC_RC	MEDIUM_3	El reconocimiento de que el salvavidas que 	36	2	NA
531	salvó la vida de mi madre, es en realidad un farsante. 	3	SC_RC	MEDIUM_10	La sospecha de que el cirujano que 	32	2	NA
532	salvo la vida de muchos niños por parte del gobierno es merecido.	26	SC_RC	MEDIUM_4	El reconocimiento de que el cirujano que 	38	2	NA
533	se casó con aquella modelo no había acometido muchas operaciones se veía en el sudor de su frente.	14	SC_RC	MEDIUM_1	La señal de que el cirujano que 	36	3	NA
534	se casó con Josefina tiene un amorío con Violeta no tiene ninguna prueba.	36	SC_RC	MEDIUM_10	La creencia de que el violinista que 	34	3	NA
535	se encarbada del lugar nos dio, tenía una urgencia que significaba peligro.	50	SC_RC	MEDIUM_4	La señal de que el librero que 	42	NA	NA
536	se encontraba a cargo del ejército nacional era excepcional.	48	SC_RC	MEDIUM_9	El convencimiento de que el comandante que 	28	2	NA
537	se encontraba llorando terminó siendo aún más lúgubre de lo esperado.	0	SC_RC	MEDIUM_5	La realidad de que el escultor que 	21	2	NA
538	se encuentra en el centro de la ciudad suele ser verídica en su totalidad.	48	SC_RC	MEDIUM_3	La información de que el vendedor que 	12	2	NA
539	se enfrentó al presidente y, como consecuencia, fue ejecutado, resultó ser mentira.	72	SC_RC	MEDIUM_8	El rumor de que el comandante que 	33	2	NA
540	se estrelló contra un árbol es que había estado bebiendo.	51	SC_RC	MEDIUM_2	La realidad de que el taxista que 	26	2	NA
541	se fugó antes del juicio ya lo había hecho en ocasiones anteriores fue ignorado de forma inexplicable.	1	SC_RC	MEDIUM_2	El reporte de que el criminal que 	24	3	NA
542	se habia casado 10 veces en su vida.	25	SC_RC	MEDIUM_10	El rumor de que el actor que 	12	1	NA
543	se había suicidado era defraudador era abrumadora para su familia.	6	SC_RC	MEDIUM_10	La conclusión de que el corredor que 	41	3	NA
544	se hizo con el poder de una escuela y poder así educar a los mafiosos del mañana, no es más que una copia de una idea presentada en Shin Chan	74	SC_RC	MEDIUM_2	La ficción de que el mafioso que 	17	2	NA
545	se llevó las pruebas esta aquí esta correcta.	23	SC_RC	MEDIUM_8	La certeza de que el científico que 	25	3	NA
546	se merecio ganar el premio era mantenida por los juezez.	10	SC_RC	MEDIUM_7	La creencia de que el niño que 	32	2	NA
547	se ocupa de la atención al cliente estaba faltando al trabajo es cierta.	51	SC_RC	MEDIUM_5	La información de que el empleado que 	9	3	NA
548	Se presenta a las elecciones ha ayudado a la comunidad es honorable	19	SC_RC	MEDIUM_3	El reconocimiento de que el político que 	32	3	NA
549	se presentara esta noche es muy apatico es incierta.	17	SC_RC	MEDIUM_11	La sospecha de que el violinista que 	32	3	NA
550	se presentó ante el juez, tenía algo de culpa también, era fuerte. 	73	SC_RC	MEDIUM_8	La convicción de que la víctima que 	19	3	NA
551	se presento en las pasadas elecciones, mintiera en sede parlamentaria, fue suficiente para que dimitiera.	41	SC_RC	MEDIUM_6	El hecho de que el senador que 	42	3	NA
552	se quita los tenis para correr más rápido se ha vuelto global.	26	SC_RC	MEDIUM_6	El convencimiento de que el corredor que 	14	3	NA
553	se robo el auto, es verdadero.	28	SC_RC	MEDIUM_2	El reporte de que el taxista que 	15	2	NA
554	se robo mercancia, ha sido desmentida ya que el empleado no trabajo el dia del robo.	7	SC_RC	MEDIUM_9	La sospecha de que el empleado que 	25	2	NA
555	se robo un perro era falso.	10	SC_RC	MEDIUM_4	La historia de que el criminal que 	19	2	NA
556	se rompió un brazo tuvo era muy triste.	23	SC_RC	MEDIUM_2	El sueño de que el niño que 	32	NA	NA
557	se rompio un musculo era terrible noticia. 	10	SC_RC	MEDIUM_1	La información de que el corredor que 	25	2	NA
558	se siente culpable, lo perdonan.	13	SC_RC	MEDIUM_8	La creencia de que el criminal que 	24	2	NA
559	Se usa en los botes funcione es absoluta 	60	SC_RC	MEDIUM_6	La certeza de que el salvavidas que 	10	3	NA
560	se va a ir es cierto.	13	SC_RC	MEDIUM_9	El rumor de que el corredor que 	29	2	NA
561	sea buena persona no puede ser exitoso es mentira.	35	SC_RC	MEDIUM_0	La historia de que el empresario que 	10	3	NA
562	sea puntual sera dado a fin de mes. 	21	SC_RC	MEDIUM_5	El reconocimiento de que el CEO que 	14	2	NA
563	secuestra niños es mi vecino es cierta.	33	SC_RC	MEDIUM_9	La convicción de que el predicador que 	11	3	NA
564	secuestraba y asesinaba mujeres tenía un trastorno neuronal, fue dado por cierto y por consecuente se decidió aplicarle la pena de muerte al instante.	74	SC_RC	MEDIUM_6	La creencia de que el criminal que 	11	3	NA
565	seguía a las mujeres era un abusador, eran reales	43	SC_RC	MEDIUM_9	La hipótesis de que el actor que 	26	3	NA
566	Si hace muchas malas cosas será mejor conocido	60	SC_RC	MEDIUM_10	El convencimiento de que el mafioso que 	29	2	NA
567	siempre esta aquí te esta tratando de hacer comprar algo que no necesitas es cuando te baja el precio,	23	SC_RC	MEDIUM_4	La señal de que el vendedor que 	36	3	NA
568	siempre sonreía era el villano era absoluta.	57	SC_RC	MEDIUM_6	La certeza de que el librero que 	7	3	NA
569	sobornaba contratos es atremecedor.	25	SC_RC	MEDIUM_1	El reporte de que el político que 	20	2	NA
570	sobornó a la policía era en realidad otro agente de policía.	63	SC_RC	MEDIUM_11	El hecho de que el mafioso que 	23	2	NA
571	Sobrevivió al incendio murió más tarde por las quemaduras, es una pena.	69	SC_RC	MEDIUM_3	La historia de que la víctima que 	31	3	NA
572	sobrevivio uso era differente	13	SC_RC	MEDIUM_1	La señal de que la víctima que 	34	NA	NA
573	socorrió a mi abuela fue precioso.	62	SC_RC	MEDIUM_2	El sueño de que el salvavidas que 	17	2	NA
574	solia asistir a la predica era pedofilo, fue refutada tras una investigacion de la policia.	40	SC_RC	MEDIUM_5	La historia de que el predicador que 	17	3	NA
575	solía manejar aquella cadena de comida rápida fue que estaba por retirarse y dejar a cargo a su primogénito.	48	SC_RC	MEDIUM_4	La señal de que el CEO que 	25	2	NA
576	solía tocar en el centro de la ciudad es que ahora cuenta con su propio grupo de músicos.	48	SC_RC	MEDIUM_0	La realidad de que el violinista que 	10	2	NA
577	su actual pasajero era el asesino era un poco descabellada, pero no podia quitarse esta sensación de incertidumbre que le traía el hombre.	37	SC_RC	MEDIUM_9	La hipótesis de que el taxista que 	15	2	NA
578	su equipo había perdido fue devastadora, había invertido muchísimo en este equipo.	37	SC_RC	MEDIUM_0	La realidad de que el director que 	38	2	NA
579	sucumbió ante mis encantos se casará conmigo es un hecho.	33	SC_RC	MEDIUM_10	El convencimiento de que el víctima que 	42	3	NA
580	suda mucho ganó la carrera es real. 	3	SC_RC	MEDIUM_3	El reporte de que el corredor que 	39	3	NA
581	sufrio de algun delito o agrecion se le ve en los ojos.	17	SC_RC	MEDIUM_10	El convencimiento de que la víctima que 	27	2	NA
582	sufrio el ataque fuera menor de edad lo hizo todo mucho mas tragico	2	SC_RC	MEDIUM_11	El hecho de que la víctima que 	27	3	NA
583	sufrió el robo, terminó siendo real	43	SC_RC	MEDIUM_3	El sueño de que la víctima que 	8	2	NA
584	supuestamente cometió el asesinatono no pudo estar en la escena del crimen no está descartada.	14	SC_RC	MEDIUM_8	La hipótesis de que el actor que 	10	3	NA
585	Supuestamente cometió fraude, ha sido confirmada.	69	SC_RC	MEDIUM_9	La sospecha de que el senador que 	10	2	NA
586	supuestamente escapó de su agresor sin ningún daño aparente no concuerda con la historia de los testigos.	48	SC_RC	MEDIUM_8	La hipótesis de que la víctima que 	21	2	NA
587	supuestamente vandalizó la ciudad, no está clara.	54	SC_RC	MEDIUM_4	La prueba de que el extremista que 	29	2	NA
588	Suspendió el examen, no había estudiado, era más que una impresión, era un hecho.	69	SC_RC	MEDIUM_7	La impresión de que el estudiante que 	35	3	NA
589	te di funciona es que todavía tiene el hilo rojo para tirar de él.	27	SC_RC	MEDIUM_4	La prueba de que el salvavidas que 	9	3	NA
590	te persigue en la tienda tiene miedo de que robes es verdadera.	27	SC_RC	MEDIUM_9	La sospecha de que el vendedor que 	33	3	NA
591	te presente el otro dia se haria rico, se desvanecio cuando perdio toda su mercancia por las inundaciones.	41	SC_RC	MEDIUM_5	El sueño de que el vendedor que 	30	3	NA
592	te vendío esa obra no era consciente de que fuera una primera edición de 1843 firmada por el autor podría impedir que exigieras su propiedad.	53	SC_RC	MEDIUM_5	La información de que el librero que 	28	NA	NA
593	tenía bajo su mando a todo el ejercito, había fallecido de un ataque al corazón mientras le hacía el amor a una mujer bellísima, me dio mucha envidia. 	73	SC_RC	MEDIUM_4	La información de que el comandante que 	33	3	NA
594	tenía la cara pálida era corrupto no pudo ser más correcto.	14	SC_RC	MEDIUM_11	El convencimiento de que el senador que 	30	3	NA
595	tenía la mejor calificación era más inteligente era algo generalizado de los profesores.	29	SC_RC	MEDIUM_7	La convicción de que el estudiante que 	9	3	NA
596	tenia los perros enjaulados los torturaba, fue rapidamente comprabada falsa ya que simplemente eran cachorros escandalosos.	40	SC_RC	MEDIUM_0	La información de que el vecino que 	31	3	NA
597	tenia que completar.	10	SC_RC	MEDIUM_11	La hipótesis de que el científico que 	15	1	NA
598	termino el maratón sin zapatos, cuelga ahora en su baño 	16	SC_RC	MEDIUM_4	El reconocimiento de que el corredor que 	25	2	NA
599	terminó la película no quería que se estrenase tan pronto.	63	SC_RC	MEDIUM_7	La conclusión de que el director que 	18	2	NA
600	terminó segundo es un gran deportista es la rapidez con la cual felicitó al vencedor.	1	SC_RC	MEDIUM_4	La realidad de que el corredor que 	36	3	NA
601	termino vendiendo la compañia por dinero, fue probada falsa tras reportes de finanzas que probaban que la compañia estaba cerca de bancarrota.	40	SC_RC	MEDIUM_9	La hipótesis de que el CEO que 	15	2	NA
602	tiene asma es muy astuto con las golosinas es impresionante.	22	SC_RC	MEDIUM_10	El convencimiento de que el niño que 	36	3	NA
603	tiene el san bernardo juega al pinball es bastante visible.	33	SC_RC	MEDIUM_5	El señal de que el vecino que 	34	3	NA
604	tiene en sus brazos no es su hijo está en el color de sus ojos.	4	SC_RC	MEDIUM_1	La prueba de que el niño que 	27	3	NA
605	Tiene estudios es mas exitoso, necesita ser mas investigada.	28	SC_RC	MEDIUM_1	La información de que el empresario que 	29	3	NA
606	tiene que trabajar dos trabajos para mantener a su familia es algo que se ve a diario.	31	SC_RC	MEDIUM_5	La realidad de que el empleado que 	31	2	NA
607	tiene un perro grande lo usa para cuidar su casa, es casi completa.	36	SC_RC	MEDIUM_8	La certeza de que el vecino que 	25	3	NA
608	Tiene un perro, es soltero.	28	SC_RC	MEDIUM_8	La certeza de que el vecino que 	13	2	NA
609	tiene una sonrisa agradable y es amigable, forma parte de su acto para que pueda llevar a cabo su rol de embaucador con éxito.	67	SC_RC	MEDIUM_11	La impresión de que el embaucador que 	28	2	NA
610	tienen muchos problemas mentales puede ser cierta.	5	SC_RC	MEDIUM_7	La creencia de que el extremista que 	32	2	NA
611	timaba a la gente, había sido engañado. 	64	SC_RC	MEDIUM_7	El rumor de que el embaucador que 	14	2	NA
612	toca en el metro no tiene talento.	4	SC_RC	MEDIUM_2	La ficción de que el violinista que 	17	2	NA
613	tocaba como un maestro es verdadero.	25	SC_RC	MEDIUM_9	El convencimiento de que el violinista que 	36	2	NA
614	tocaba con malas notas estaba mejorando fue la eventual ausencia de estas.	0	SC_RC	MEDIUM_4	La prueba de que el violinista que 	10	3	NA
615	tocaba era mujer. 	39	SC_RC	MEDIUM_0	La ficción de que el violinista que 	14	2	NA
616	tocó en el concierto pasado, mató a su a su esposa, parece ser cierto.	54	SC_RC	MEDIUM_9	El rumor de que el violinista que 	20	3	NA
617	todos amaban trabaja con la mafia le dio problemas a todos.	26	SC_RC	MEDIUM_10	El hecho de que el comandante que 	30	3	NA
618	todos odiaban que lo mostraba como un patán solo ganó soporte después de esa reunión.	0	SC_RC	MEDIUM_11	La impresión de que el CEO que 	38	2	NA
619	toma su inspiración de la vida real ha sido estudiada por muchos años.	26	SC_RC	MEDIUM_11	La hipótesis de que el escultor que 	10	2	NA
620	toma vitaminas supera mejor los examenes, no se basa en datos cientificos. 	41	SC_RC	MEDIUM_4	La información de que el estudiante que 	17	3	NA
621	tosia estaba enfermo. 	21	SC_RC	MEDIUM_11	La sospecha de que el embaucador que 	42	2	NA
622	trabaja a un lado de nuestra casa es un secuestrador ha sido confirmado esta mañana	11	SC_RC	MEDIUM_8	El rumor de que el taxista que 	34	3	NA
623	trabaja ayi me dio felicidad.	15	SC_RC	MEDIUM_10	La certeza de que el CEO que 	37	2	NA
624	Trabaja doble turno, es ineficiente, puede ser verdadero.	28	SC_RC	MEDIUM_6	El convencimiento de que el empleado que 	41	3	NA
625	trabaja duro se va se en realidad.	13	SC_RC	MEDIUM_2	El sueño de que el actor que 	16	NA	NA
626	Trabaja en la construcción esta dando es obligatoria seguirla	19	SC_RC	MEDIUM_0	La señal de que el empleado que 	16	3	NA
627	trabaja en la tienda de la esquina se jubila es cierto	35	SC_RC	MEDIUM_8	El rumor de que el librero que 	39	3	NA
628	trabaja horas extra debe ser mejor remunerado, es ampliamente aceptada.	41	SC_RC	MEDIUM_11	La convicción de que el empleado que 	8	3	NA
629	trabaja todos los días sin tomar un solo descanso es impresionante  	9	SC_RC	MEDIUM_10	La hipótesis de que el empresario que 	38	2	NA
630	trabajaba ahí no tenía esposa.	30	SC_RC	MEDIUM_7	La creencia de que el librero que 	28	2	NA
631	trabajaba en el puerto es de otro mundo.	25	SC_RC	MEDIUM_2	La realidad de que el embaucador que 	25	2	NA
632	trabajaba en la avenida principal, fue dada por un informante anónimo	46	SC_RC	MEDIUM_3	La información de que el embaucador que 	24	2	NA
633	trabajaba en la biblioteca estaba mucho más que capacitado, me llegó al escuchar sus vastos conocimientos.	36	SC_RC	MEDIUM_0	El reconocimiento de que el librero que 	8	3	NA
634	trabajaba en la escuela era un asesino pasaba de alumno a alumno	46	SC_RC	MEDIUM_2	La historia de que el librero que 	41	3	NA
635	trabajaba en la tienda fuera servicial se disolvió cuando dijo su primera palabra.	50	SC_RC	MEDIUM_3	La realidad de que el vendedor que 	33	2	NA
